from,to,t,l,k,flow
m5_in,m1_in,1,l1,k1,9.3821438
source,m1_in,4,l1,k2,9.3370117
source,m1_in,4,l1,k3,9.3086276
source,m8_in,2,l1,k1,9.2981334
m8_in,m1_in,2,l1,k1,9.2981334
source,m4_in,2,l2,k2,9.2834727
m4_in,m4_q_l2,2,l2,k2,9.2834727
m4_q_l2,ss,2,l2,k2,9.2834727
source,m1_in,4,l2,k2,9.2635131
source,m6_in,2,l1,k3,9.2586769
m6_in,m3_in,2,l1,k3,9.2586769
source,m1_in,4,l1,k5,9.2583029
source,m5_in,2,l2,k5,9.2430686
m5_in,m4_in,2,l2,k5,9.2430686
source,m1_in,1,l2,k1,9.2310646
m1_in,m6_in,1,l2,k1,9.2310646
source,m9_in,4,l1,k3,9.2254335
source,m10_in,4,l2,k3,9.2120006
source,m8_in,4,l1,k4,9.1862686
source,m6_in,3,l1,k1,9.1729106
m6_in,m1_in,3,l1,k1,9.1729106
source,m2_in,2,l2,k2,9.1702221
m2_in,m1_in,2,l2,k2,9.1702221
source,m2_in,1,l1,k4,9.1482621
m2_in,m4_in,1,l1,k4,9.1482621
source,m6_in,2,l1,k5,9.1156922
m6_in,m5_in,2,l1,k5,9.1156922
source,m7_in,2,l1,k4,9.1051979
m7_in,m4_in,2,l1,k4,9.1051979
source,m9_in,1,l2,k1,9.0677889
m9_in,m9_q_l2,1,l2,k1,9.0677889
m9_q_l2,ss,1,l2,k1,9.0677889
source,m5_in,2,l2,k4,8.9937871
m5_in,m5_q_l2,2,l2,k4,8.9937871
m5_q_l2,ss,2,l2,k4,8.9937871
source,m3_in,2,l2,k3,8.9887629
m3_in,m9_in,2,l2,k3,8.9887629
source,m3_in,1,l2,k5,8.9818568
m3_in,m3_q_l2,1,l2,k5,8.9818568
m3_q_l2,ss,1,l2,k5,8.9818568
source,m1_in,2,l1,k5,8.9804426
m1_in,m5_in,2,l1,k5,8.9804426
source,m4_in,1,l2,k5,8.9437005
m4_in,m4_q_l2,1,l2,k5,8.9437005
m4_q_l2,ss,1,l2,k5,8.9437005
source,m1_in,1,l2,k5,8.9211752
m1_in,m1_q_l2,1,l2,k5,8.9211752
m1_q_l2,ss,1,l2,k5,8.9211752
source,m9_in,2,l2,k2,8.8987423
m9_in,m9_q_l2,2,l2,k2,8.8987423
m9_q_l2,ss,2,l2,k2,8.8987423
source,m3_in,1,l1,k4,8.8895057
m3_in,m4_in,1,l1,k4,8.8895057
source,m3_in,3,l2,k5,8.8483781
m3_in,m3_q_l2,3,l2,k5,8.8483781
m3_q_l2,ss,3,l2,k5,8.8483781
